name,age,user_city,has_car,education_level,english,studies,job,company,job_city,salary_range,contract_type
Megan Wallace,25,Sevilla,True,Bachelor,True,Computer Science,Junior Developer,TravelX,Barcelona,€1300-1500,Part-time
Laura Gonzalez,20,Valencia,False,Bachelor,True,Mechanical Engineering,Sales Assistant,MediCare,Zaragoza,€1300-1500,Full-time
Katherine Robinson,22,Barcelona,False,High School,False,Business Administration,Sales Assistant,TechSolutions,Logroño,€1300-1500,Internship
Joshua Brown,22,Barcelona,False,Bachelor,True,Tourism,Electrician Assistant,MediCare,Valencia,€900-1100,Internship
Daniel Kelley,24,Valencia,True,Bachelor,True,Computer Science,Data Analyst,InnovaCorp,Logroño,€1100-1300,Full-time
Regina White,24,Logroño,True,High School,True,Business Administration,Sales Assistant,GlobalBiz,Bilbao,€1300-1500,Internship
Jennifer Garcia,24,Valencia,True,Vocational Training,True,Nursing,Nurse Assistant,InnovaCorp,Logroño,€900-1100,Full-time
Sonya Hernandez,19,Logroño,True,Bachelor,False,Law,Marketing Intern,InnovaCorp,Zaragoza,€900-1100,Part-time
Christopher Park,18,Zaragoza,True,Vocational Training,False,Graphic Design,Graphic Designer,InnovaCorp,Zaragoza,€1300-1500,Internship
Kenneth Henry,24,Barcelona,False,High School,False,Mechanical Engineering,Nurse Assistant,GlobalBiz,Zaragoza,€900-1100,Internship
Jennifer Bautista,18,Valencia,True,Vocational Training,False,Tourism,HR Assistant,GlobalBiz,Logroño,€1300-1500,Part-time
Virginia Thomas,23,Barcelona,False,High School,True,Nursing,Junior Developer,TechSolutions,Bilbao,€1100-1300,Part-time
Melissa Webster,23,Bilbao,True,Master,True,Graphic Design,HR Assistant,TechSolutions,Logroño,€1100-1300,Internship
Randy Macdonald,21,Logroño,False,Bachelor,False,Business Administration,Teacher Assistant,GlobalBiz,Logroño,€900-1100,Full-time
Richard Johnson,22,Sevilla,False,Bachelor,False,Tourism,Electrician Assistant,InnovaCorp,Barcelona,€1100-1300,Full-time
Kayla Gray,24,Bilbao,True,Vocational Training,False,Graphic Design,Graphic Designer,GlobalBiz,Barcelona,€1100-1300,Full-time
Michelle Willis,23,Logroño,True,Master,False,Electrical Engineering,Electrician Assistant,MediCare,Zaragoza,€1300-1500,Internship
David Thompson,19,Zaragoza,True,Bachelor,False,Business Administration,HR Assistant,InnovaCorp,Zaragoza,€900-1100,Internship
Dale Wells,18,Bilbao,True,High School,True,Electrical Engineering,Graphic Designer,MediCare,Logroño,€1300-1500,Internship
John Thompson,24,Barcelona,True,Master,False,Mechanical Engineering,Data Analyst,MediCare,Barcelona,€900-1100,Full-time
Jason Lynch,25,Sevilla,True,High School,True,Business Administration,Receptionist,DesignHub,Bilbao,€1300-1500,Full-time
Julie Frank,23,Sevilla,True,Master,False,Education,Graphic Designer,MediCare,Valencia,€900-1100,Full-time
John Patterson,22,Sevilla,True,Master,True,Nursing,HR Assistant,InnovaCorp,Valencia,€1100-1300,Part-time
Catherine Wallace,19,Sevilla,True,Vocational Training,True,Mechanical Engineering,Marketing Intern,TechSolutions,Sevilla,€1100-1300,Part-time
John Greer,25,Zaragoza,False,Master,True,Mechanical Engineering,Receptionist,TravelX,Logroño,€900-1100,Full-time
Nathan Lewis,24,Valencia,False,Master,True,Tourism,Receptionist,TravelX,Logroño,€1300-1500,Full-time
Shannon Davis,21,Sevilla,False,Master,True,Nursing,Junior Developer,MediCare,Valencia,€1300-1500,Full-time
Lee Gallegos,24,Bilbao,True,Vocational Training,False,Marketing,Sales Assistant,TravelX,Bilbao,€1300-1500,Internship
Devin Keller,19,Barcelona,True,Master,True,Electrical Engineering,HR Assistant,MediCare,Valencia,€900-1100,Part-time
Christina Matthews,23,Zaragoza,False,Bachelor,False,Nursing,Nurse Assistant,TechSolutions,Sevilla,€900-1100,Full-time
Julie Barajas,18,Zaragoza,True,Bachelor,True,Business Administration,Data Analyst,InnovaCorp,Barcelona,€900-1100,Full-time
Brian Yang,20,Logroño,True,Vocational Training,True,Electrical Engineering,Junior Developer,MediCare,Logroño,€1100-1300,Part-time
Natalie Miller,20,Madrid,True,High School,True,Nursing,HR Assistant,TravelX,Logroño,€1100-1300,Part-time
Michael Goodman,21,Logroño,False,High School,True,Business Administration,Sales Assistant,TravelX,Zaragoza,€900-1100,Part-time
Donald Castillo,24,Logroño,False,Bachelor,True,Education,Teacher Assistant,MediCare,Zaragoza,€1100-1300,Internship
George Conway,24,Sevilla,True,Bachelor,False,Marketing,Electrician Assistant,DesignHub,Valencia,€1300-1500,Full-time
Judith Mays,25,Valencia,False,Master,False,Law,Marketing Intern,TechSolutions,Valencia,€1100-1300,Internship
Cynthia Kim,25,Sevilla,False,Master,False,Computer Science,Sales Assistant,MediCare,Barcelona,€1100-1300,Part-time
Patricia Sanders,23,Madrid,True,Bachelor,False,Education,Data Analyst,InnovaCorp,Logroño,€1100-1300,Part-time
Jessica Mills,21,Zaragoza,True,Master,False,Electrical Engineering,Data Analyst,GlobalBiz,Barcelona,€1100-1300,Full-time
Kyle Brown,21,Bilbao,False,Bachelor,False,Electrical Engineering,Receptionist,DesignHub,Bilbao,€1100-1300,Part-time
Kimberly Ferguson,25,Barcelona,True,Bachelor,False,Nursing,Nurse Assistant,GlobalBiz,Madrid,€1300-1500,Full-time
John Williams Jr.,20,Valencia,False,Vocational Training,True,Electrical Engineering,Junior Developer,InnovaCorp,Valencia,€900-1100,Part-time
Sarah Nelson,20,Barcelona,False,Bachelor,True,Education,Teacher Assistant,TechSolutions,Bilbao,€1100-1300,Full-time
Barbara Page,20,Bilbao,False,Master,True,Computer Science,Data Analyst,MediCare,Sevilla,€1100-1300,Internship
Kaylee Hayden,18,Zaragoza,True,Bachelor,False,Business Administration,Receptionist,MediCare,Madrid,€1300-1500,Full-time
David Lopez,18,Valencia,True,Vocational Training,True,Law,Marketing Intern,TechSolutions,Bilbao,€1100-1300,Full-time
April Booth,21,Valencia,False,Master,False,Electrical Engineering,HR Assistant,TravelX,Bilbao,€900-1100,Full-time
Christina Nash,19,Logroño,True,Vocational Training,True,Nursing,Nurse Assistant,InnovaCorp,Barcelona,€1300-1500,Internship
Miss Patricia Adams,20,Logroño,False,High School,False,Electrical Engineering,HR Assistant,TechSolutions,Barcelona,€1100-1300,Full-time
Karen Dickson,22,Valencia,True,Master,True,Mechanical Engineering,Receptionist,TechSolutions,Bilbao,€900-1100,Full-time
Aaron Robinson,20,Madrid,True,Bachelor,True,Business Administration,Marketing Intern,TravelX,Logroño,€1300-1500,Part-time
Jessica Mills,25,Logroño,False,High School,False,Nursing,HR Assistant,TravelX,Bilbao,€1100-1300,Part-time
Christopher Harper,19,Bilbao,False,High School,False,Tourism,Junior Developer,TechSolutions,Barcelona,€1300-1500,Full-time
Suzanne Mcclain,18,Sevilla,False,Bachelor,True,Marketing,Marketing Intern,InnovaCorp,Bilbao,€1100-1300,Full-time
Kurt Jones,25,Sevilla,False,High School,False,Tourism,Nurse Assistant,DesignHub,Madrid,€900-1100,Part-time
Mr. James Garcia,24,Zaragoza,True,Master,False,Graphic Design,Graphic Designer,TechSolutions,Valencia,€1100-1300,Part-time
Anthony Mitchell,19,Sevilla,False,Master,True,Education,Teacher Assistant,InnovaCorp,Bilbao,€1100-1300,Full-time
Timothy Herrera,25,Valencia,True,Master,True,Mechanical Engineering,HR Assistant,MediCare,Logroño,€1100-1300,Internship
Alyssa Fox,18,Bilbao,True,Vocational Training,True,Nursing,Nurse Assistant,TechSolutions,Barcelona,€900-1100,Part-time
Charles Fleming,19,Bilbao,False,Vocational Training,False,Nursing,Nurse Assistant,MediCare,Sevilla,€900-1100,Part-time
Aaron Miller,20,Bilbao,True,Master,True,Law,Data Analyst,GlobalBiz,Zaragoza,€1100-1300,Part-time
Jeremy Gregory,22,Zaragoza,False,High School,False,Nursing,Sales Assistant,MediCare,Bilbao,€1100-1300,Part-time
Christopher Harper,23,Zaragoza,True,Master,False,Tourism,Marketing Intern,TravelX,Sevilla,€900-1100,Part-time
Kathy Edwards,18,Sevilla,True,Bachelor,False,Graphic Design,Graphic Designer,TechSolutions,Barcelona,€1300-1500,Full-time
Virginia Schwartz,23,Bilbao,False,High School,False,Business Administration,Sales Assistant,DesignHub,Barcelona,€1100-1300,Full-time
Susan Clarke,20,Valencia,False,High School,False,Nursing,Data Analyst,GlobalBiz,Zaragoza,€1300-1500,Full-time
Taylor Mathews,24,Madrid,True,Bachelor,False,Education,Marketing Intern,DesignHub,Logroño,€1100-1300,Internship
Jack Griffin,19,Sevilla,True,Master,True,Business Administration,Data Analyst,TechSolutions,Madrid,€1100-1300,Internship
Micheal Davenport,22,Barcelona,True,Bachelor,False,Graphic Design,Graphic Designer,TravelX,Logroño,€900-1100,Internship
Stephen Cook,20,Logroño,True,High School,False,Law,Graphic Designer,TravelX,Barcelona,€900-1100,Part-time
Mitchell Cox,22,Zaragoza,False,Master,False,Computer Science,HR Assistant,DesignHub,Bilbao,€900-1100,Internship
Elizabeth Robertson,25,Logroño,False,Bachelor,False,Graphic Design,Graphic Designer,GlobalBiz,Barcelona,€1100-1300,Part-time
Rebecca Johnson,19,Valencia,False,Vocational Training,False,Law,HR Assistant,TechSolutions,Zaragoza,€1300-1500,Part-time
Carol Alvarado,22,Logroño,False,High School,True,Law,HR Assistant,InnovaCorp,Bilbao,€1100-1300,Internship
David Roberts,21,Logroño,True,Bachelor,True,Business Administration,Marketing Intern,MediCare,Madrid,€1300-1500,Part-time
Michelle Franco,20,Logroño,False,High School,False,Tourism,Sales Assistant,InnovaCorp,Barcelona,€1300-1500,Part-time
Jacob Ward,22,Zaragoza,False,Vocational Training,False,Electrical Engineering,Electrician Assistant,TechSolutions,Sevilla,€900-1100,Internship
Leah Harrison,21,Zaragoza,False,Master,False,Business Administration,Junior Developer,GlobalBiz,Bilbao,€900-1100,Part-time
Jody Walters,23,Madrid,True,Bachelor,False,Tourism,Graphic Designer,TechSolutions,Bilbao,€1300-1500,Part-time
Darrell Pearson,21,Logroño,False,High School,False,Nursing,Data Analyst,InnovaCorp,Madrid,€900-1100,Part-time
Renee Castillo,25,Bilbao,True,High School,True,Mechanical Engineering,Receptionist,MediCare,Valencia,€1300-1500,Full-time
David Reeves,24,Zaragoza,False,Vocational Training,False,Business Administration,Sales Assistant,GlobalBiz,Madrid,€1300-1500,Part-time
Samantha Valenzuela,21,Zaragoza,False,Master,False,Mechanical Engineering,Data Analyst,DesignHub,Valencia,€1300-1500,Full-time
Kevin Walker,23,Barcelona,True,High School,False,Nursing,Graphic Designer,TechSolutions,Logroño,€900-1100,Full-time
Samuel Bradford,18,Barcelona,True,High School,False,Mechanical Engineering,Data Analyst,TravelX,Barcelona,€1300-1500,Internship
Mr. Stephen Gonzalez,21,Madrid,False,Bachelor,True,Law,HR Assistant,InnovaCorp,Bilbao,€1100-1300,Internship
Vincent Luna,19,Valencia,True,High School,True,Computer Science,Teacher Assistant,GlobalBiz,Madrid,€900-1100,Part-time
Lisa Anthony,18,Madrid,True,Vocational Training,False,Education,Graphic Designer,MediCare,Zaragoza,€1100-1300,Full-time
Jason Owen,19,Madrid,False,Master,True,Law,Graphic Designer,DesignHub,Madrid,€900-1100,Part-time
Sarah Mckinney,24,Logroño,False,Master,True,Electrical Engineering,Data Analyst,TechSolutions,Valencia,€1300-1500,Internship
Jonathan Valentine,19,Logroño,False,Vocational Training,False,Law,Receptionist,TravelX,Bilbao,€1100-1300,Part-time
Tiffany Ruiz,24,Logroño,True,High School,True,Education,Receptionist,MediCare,Barcelona,€1100-1300,Part-time
Jennifer Miller,25,Valencia,False,Master,False,Business Administration,Nurse Assistant,DesignHub,Valencia,€1100-1300,Internship
Felicia Mclaughlin,25,Madrid,False,High School,True,Business Administration,Sales Assistant,DesignHub,Logroño,€1100-1300,Internship
Eric Cantrell,18,Valencia,False,Bachelor,True,Graphic Design,Graphic Designer,GlobalBiz,Bilbao,€1100-1300,Part-time
Jessica Watson,19,Barcelona,True,Vocational Training,True,Electrical Engineering,Electrician Assistant,TravelX,Valencia,€900-1100,Part-time
Daniel Johnson,21,Logroño,False,Master,True,Law,Junior Developer,InnovaCorp,Valencia,€1300-1500,Part-time
Michael Rose,23,Zaragoza,True,Bachelor,True,Marketing,Marketing Intern,TechSolutions,Barcelona,€1300-1500,Full-time
Jeffrey Russo,18,Sevilla,False,High School,True,Graphic Design,Nurse Assistant,InnovaCorp,Valencia,€1100-1300,Full-time
Jacob Newton,23,Barcelona,True,High School,True,Marketing,Sales Assistant,GlobalBiz,Sevilla,€1300-1500,Part-time
Austin Williams,25,Barcelona,True,Master,False,Nursing,Nurse Assistant,MediCare,Madrid,€1100-1300,Full-time
Kristy Campbell,25,Sevilla,True,Bachelor,True,Mechanical Engineering,Junior Developer,InnovaCorp,Valencia,€900-1100,Internship
Joseph Harding,22,Madrid,False,Bachelor,False,Business Administration,Receptionist,InnovaCorp,Barcelona,€1100-1300,Full-time
Jennifer Robinson,21,Zaragoza,True,Bachelor,True,Graphic Design,Graphic Designer,TechSolutions,Sevilla,€900-1100,Part-time
Laura Bauer,24,Madrid,False,Master,False,Nursing,Junior Developer,GlobalBiz,Barcelona,€1300-1500,Part-time
Shelly Gonzalez,23,Barcelona,False,High School,False,Business Administration,Sales Assistant,TravelX,Madrid,€1100-1300,Part-time
Ellen Nguyen,23,Madrid,True,Vocational Training,False,Marketing,Sales Assistant,GlobalBiz,Valencia,€1300-1500,Full-time
Dana Hall,20,Valencia,True,Vocational Training,True,Marketing,Sales Assistant,TravelX,Barcelona,€1300-1500,Internship
Seth Cameron,20,Zaragoza,False,Master,False,Law,Teacher Assistant,DesignHub,Logroño,€1300-1500,Part-time
Donna Mcfarland,23,Sevilla,False,Vocational Training,False,Business Administration,Sales Assistant,GlobalBiz,Bilbao,€900-1100,Part-time
Mr. Charles Jordan,19,Madrid,True,Bachelor,False,Electrical Engineering,Nurse Assistant,GlobalBiz,Madrid,€1300-1500,Internship
Cristina Flores,24,Zaragoza,True,Master,True,Electrical Engineering,Nurse Assistant,TravelX,Sevilla,€1300-1500,Internship
Jordan Brown,18,Logroño,True,Master,True,Tourism,Electrician Assistant,DesignHub,Barcelona,€900-1100,Internship
Nicole Duncan,25,Valencia,False,Master,True,Tourism,Receptionist,MediCare,Zaragoza,€1100-1300,Full-time
Amy Gibbs,18,Madrid,False,Bachelor,True,Tourism,HR Assistant,GlobalBiz,Logroño,€1300-1500,Full-time
Ryan Daugherty,20,Logroño,True,Bachelor,True,Law,HR Assistant,GlobalBiz,Logroño,€1300-1500,Full-time
Kenneth Finley,24,Bilbao,False,Vocational Training,True,Nursing,Nurse Assistant,InnovaCorp,Logroño,€1300-1500,Full-time
Paul Vargas,19,Valencia,False,Master,False,Computer Science,Sales Assistant,InnovaCorp,Valencia,€1100-1300,Internship
Tina Johnson,21,Valencia,True,Vocational Training,True,Business Administration,Sales Assistant,DesignHub,Valencia,€1300-1500,Internship
Laura Montoya,24,Zaragoza,True,Vocational Training,True,Marketing,Sales Assistant,TechSolutions,Sevilla,€1100-1300,Full-time
Jennifer Jackson,21,Barcelona,True,Master,False,Electrical Engineering,HR Assistant,MediCare,Zaragoza,€900-1100,Part-time
Laura Huerta,25,Bilbao,False,Master,False,Graphic Design,Sales Assistant,InnovaCorp,Zaragoza,€1300-1500,Internship
Margaret Luna,22,Bilbao,True,High School,False,Tourism,Electrician Assistant,TechSolutions,Valencia,€900-1100,Internship
Billy Santiago,22,Madrid,True,Master,True,Graphic Design,Graphic Designer,GlobalBiz,Madrid,€1100-1300,Internship
Richard Arnold,24,Madrid,False,Bachelor,True,Graphic Design,Graphic Designer,TechSolutions,Valencia,€900-1100,Full-time
Tracy Yates,23,Valencia,False,Vocational Training,True,Computer Science,Junior Developer,DesignHub,Sevilla,€1100-1300,Full-time
Dr. Michelle Roberts,18,Barcelona,True,High School,True,Nursing,Electrician Assistant,DesignHub,Bilbao,€1300-1500,Part-time
Michelle Williams,19,Madrid,True,Bachelor,True,Nursing,Nurse Assistant,MediCare,Logroño,€1300-1500,Part-time
David Shaffer,19,Bilbao,True,High School,False,Law,Electrician Assistant,TravelX,Barcelona,€1300-1500,Internship
Stephen Collins,22,Valencia,True,Master,True,Law,Teacher Assistant,MediCare,Barcelona,€1300-1500,Full-time
Nancy Barr,19,Bilbao,True,Bachelor,True,Education,Teacher Assistant,MediCare,Madrid,€1300-1500,Part-time
Brian Morales,23,Zaragoza,True,Bachelor,True,Tourism,Nurse Assistant,InnovaCorp,Logroño,€1300-1500,Full-time
Melissa Ellis,19,Valencia,False,Bachelor,True,Computer Science,Junior Developer,DesignHub,Sevilla,€1300-1500,Part-time
Adam Vasquez,20,Madrid,False,Vocational Training,True,Electrical Engineering,Junior Developer,TechSolutions,Zaragoza,€900-1100,Internship
Thomas Costa DDS,23,Sevilla,False,Bachelor,False,Education,Junior Developer,DesignHub,Barcelona,€1100-1300,Part-time
Brandy Diaz,18,Zaragoza,False,Bachelor,False,Business Administration,Receptionist,MediCare,Logroño,€1100-1300,Part-time
Timothy Palmer,23,Valencia,False,Vocational Training,False,Electrical Engineering,Electrician Assistant,DesignHub,Sevilla,€900-1100,Part-time
Jodi Duncan,20,Madrid,False,Bachelor,False,Business Administration,HR Assistant,GlobalBiz,Sevilla,€1300-1500,Full-time
Jeffrey Campbell,24,Sevilla,True,Vocational Training,False,Tourism,Nurse Assistant,TravelX,Sevilla,€1100-1300,Full-time
Jonathan Barker,18,Bilbao,True,High School,False,Tourism,Junior Developer,InnovaCorp,Zaragoza,€1300-1500,Full-time
Carl Reynolds,25,Barcelona,False,High School,True,Business Administration,Receptionist,MediCare,Bilbao,€900-1100,Full-time
Ashley Garcia,20,Sevilla,True,Master,False,Tourism,Teacher Assistant,InnovaCorp,Bilbao,€1100-1300,Part-time
Shari Flores,23,Madrid,True,Bachelor,True,Business Administration,Marketing Intern,TravelX,Sevilla,€1300-1500,Internship
Gregory Campbell,22,Bilbao,False,Bachelor,False,Mechanical Engineering,Graphic Designer,InnovaCorp,Madrid,€900-1100,Internship
Thomas Washington,25,Zaragoza,False,Vocational Training,False,Business Administration,Sales Assistant,DesignHub,Madrid,€1300-1500,Full-time
Alexander Smith,22,Zaragoza,False,Bachelor,True,Marketing,Marketing Intern,TechSolutions,Barcelona,€900-1100,Internship
Taylor King,25,Bilbao,False,High School,False,Education,Graphic Designer,TravelX,Barcelona,€1300-1500,Internship
Daniel Ingram,19,Bilbao,False,Bachelor,False,Electrical Engineering,Receptionist,TravelX,Madrid,€900-1100,Part-time
Joel Miller,19,Valencia,True,Master,False,Education,Electrician Assistant,DesignHub,Bilbao,€900-1100,Internship
Elizabeth Carter,24,Barcelona,False,High School,True,Education,Sales Assistant,InnovaCorp,Valencia,€1300-1500,Internship
Ashley Ross,23,Barcelona,False,Bachelor,True,Nursing,Nurse Assistant,DesignHub,Valencia,€1300-1500,Full-time
Anthony Ward,19,Logroño,False,Vocational Training,True,Marketing,Sales Assistant,TechSolutions,Madrid,€900-1100,Full-time
Michele Smith,22,Logroño,True,Vocational Training,False,Law,Graphic Designer,DesignHub,Bilbao,€1100-1300,Full-time
Laura Smith,22,Valencia,False,Master,True,Graphic Design,Data Analyst,DesignHub,Madrid,€900-1100,Part-time
Keith Cobb,24,Valencia,True,Master,False,Mechanical Engineering,Nurse Assistant,DesignHub,Valencia,€1300-1500,Part-time
Adam Bryant,24,Bilbao,True,Vocational Training,False,Education,Nurse Assistant,InnovaCorp,Sevilla,€900-1100,Part-time
Amy Christensen,25,Madrid,False,Vocational Training,True,Business Administration,Receptionist,TravelX,Sevilla,€900-1100,Internship
Teresa Harris,23,Sevilla,False,Bachelor,True,Marketing,Marketing Intern,GlobalBiz,Sevilla,€900-1100,Internship
Laura Stewart,24,Bilbao,False,Master,True,Mechanical Engineering,Junior Developer,TechSolutions,Valencia,€1100-1300,Full-time
Joy Rodriguez,25,Sevilla,True,Bachelor,True,Business Administration,Marketing Intern,DesignHub,Valencia,€1100-1300,Part-time
Robert Watson,18,Bilbao,True,Master,True,Law,Nurse Assistant,TravelX,Valencia,€900-1100,Part-time
Alexander Ramirez,25,Madrid,False,Bachelor,True,Marketing,Marketing Intern,GlobalBiz,Bilbao,€1100-1300,Internship
Shari Berg,21,Madrid,True,Master,True,Computer Science,Data Analyst,MediCare,Bilbao,€1100-1300,Internship
Matthew Zamora,20,Sevilla,False,Bachelor,False,Marketing,Teacher Assistant,GlobalBiz,Bilbao,€1300-1500,Full-time
Michael Andrews,25,Valencia,False,Bachelor,False,Computer Science,Data Analyst,MediCare,Bilbao,€1100-1300,Full-time
Veronica Ramirez,18,Bilbao,True,Master,False,Law,Junior Developer,TravelX,Sevilla,€900-1100,Full-time
Jennifer Hicks,24,Bilbao,True,Vocational Training,True,Computer Science,Junior Developer,TechSolutions,Sevilla,€1100-1300,Part-time
Victoria Sandoval,20,Bilbao,False,Master,True,Graphic Design,Junior Developer,DesignHub,Barcelona,€1300-1500,Internship
Lindsay Navarro,23,Barcelona,False,Master,False,Tourism,Electrician Assistant,GlobalBiz,Bilbao,€1100-1300,Full-time
Jeremy Payne,22,Valencia,False,Master,True,Mechanical Engineering,Marketing Intern,GlobalBiz,Zaragoza,€1100-1300,Full-time
Heather Carter,21,Valencia,False,Master,False,Electrical Engineering,HR Assistant,TechSolutions,Bilbao,€1300-1500,Full-time
Nicholas Rogers,24,Valencia,True,Master,False,Marketing,HR Assistant,DesignHub,Madrid,€1100-1300,Part-time
Cindy Waller,22,Zaragoza,False,Master,True,Mechanical Engineering,Electrician Assistant,DesignHub,Valencia,€900-1100,Internship
Jenna Johnson,21,Barcelona,True,Vocational Training,True,Education,Junior Developer,TechSolutions,Sevilla,€1100-1300,Full-time
Deborah Hart,25,Bilbao,True,High School,True,Computer Science,Receptionist,DesignHub,Sevilla,€1100-1300,Full-time
Elizabeth Stephenson,21,Logroño,True,Bachelor,False,Nursing,Nurse Assistant,DesignHub,Bilbao,€900-1100,Full-time
Cheryl Dickerson,18,Madrid,False,Vocational Training,False,Marketing,Sales Assistant,InnovaCorp,Logroño,€1100-1300,Internship
David Morris,18,Valencia,False,Bachelor,True,Tourism,Electrician Assistant,TravelX,Sevilla,€900-1100,Full-time
Mike Hess,25,Valencia,True,Bachelor,True,Business Administration,HR Assistant,MediCare,Logroño,€1100-1300,Full-time
Hayden Larson,20,Bilbao,True,High School,False,Nursing,Sales Assistant,TravelX,Zaragoza,€1300-1500,Part-time
Gary Harvey,24,Logroño,True,Bachelor,True,Graphic Design,Graphic Designer,InnovaCorp,Sevilla,€1100-1300,Internship
Frank Ballard,18,Sevilla,False,Bachelor,False,Mechanical Engineering,Nurse Assistant,GlobalBiz,Bilbao,€1300-1500,Full-time
David Smith,18,Madrid,True,Bachelor,False,Mechanical Engineering,Graphic Designer,GlobalBiz,Barcelona,€1100-1300,Full-time
Brooke Garcia,22,Bilbao,True,High School,False,Tourism,Marketing Intern,InnovaCorp,Sevilla,€900-1100,Part-time
Wendy Hall,23,Zaragoza,True,Master,False,Education,Marketing Intern,DesignHub,Zaragoza,€1300-1500,Internship
Tyler Gaines,25,Madrid,True,Bachelor,True,Law,HR Assistant,TravelX,Bilbao,€900-1100,Internship
Kimberly Simpson,23,Logroño,False,Master,True,Mechanical Engineering,Data Analyst,TravelX,Sevilla,€900-1100,Part-time
Heather Watkins,20,Madrid,False,Master,False,Law,HR Assistant,DesignHub,Madrid,€1100-1300,Part-time
Nicole Potter,18,Sevilla,False,Vocational Training,True,Computer Science,Junior Developer,TravelX,Madrid,€900-1100,Part-time
Joshua Watkins,18,Zaragoza,True,Bachelor,False,Marketing,Receptionist,GlobalBiz,Sevilla,€1100-1300,Part-time
Jonathan Thompson,24,Madrid,True,High School,True,Tourism,Receptionist,TravelX,Barcelona,€1300-1500,Internship
Ana Ferguson,18,Logroño,False,High School,False,Electrical Engineering,Electrician Assistant,MediCare,Zaragoza,€900-1100,Internship
Nathan Cox,25,Barcelona,True,Bachelor,True,Nursing,Nurse Assistant,DesignHub,Sevilla,€1300-1500,Internship
Pamela Williams,21,Bilbao,True,Vocational Training,True,Business Administration,Receptionist,TravelX,Logroño,€1300-1500,Internship
